timeOfData,,,,,Descriptive Statistics,Values
mean,8296.25,,,,Descriptive Statistics,Values
std,3662.188552,,,,Descriptive Statistics,Values
min,2695,,,,Descriptive Statistics,Values
25%,3720.5,,,,Descriptive Statistics,Values
50%,9928.5,,,,Descriptive Statistics,Values
75%,11279.5,,,,Descriptive Statistics,Values
max,13918,,,,Descriptive Statistics,Values
