timeOfData,Total
1/1/1900 18:45,10689
1/1/1900 19:00,9743
1/1/1900 19:15,11714
1/1/1900 19:30,9444
1/1/1900 19:45,10138
1/1/1900 20:00,10616
1/1/1900 20:15,10240
1/1/1900 20:30,10896
1/1/1900 20:45,11928
1/1/1900 21:00,13265
1/1/1900 21:15,11721
1/1/1900 21:30,12223
1/1/1900 21:45,11879
1/1/1900 22:00,9754
1/1/1900 22:15,11137
1/1/1900 22:30,6767
1/1/1900 22:45,4626
1/1/1900 23:00,3821
1/1/1900 23:15,2931
1/1/1900 23:30,3165
1/1/1900 23:45,2936
2/1/1900 0:00,3104
2/1/1900 0:15,2734
2/1/1900 0:30,3193
2/1/1900 0:45,2889
2/1/1900 1:00,3099
2/1/1900 1:15,2701
2/1/1900 1:30,2695
2/1/1900 1:45,3050
2/1/1900 2:00,2884
2/1/1900 2:15,2743
2/1/1900 2:30,3131
2/1/1900 2:45,2932
2/1/1900 3:00,2785
2/1/1900 3:15,3045
2/1/1900 3:30,3411
2/1/1900 3:45,3142
2/1/1900 4:00,3351
2/1/1900 4:15,3199
2/1/1900 4:30,3570
2/1/1900 4:45,3729
2/1/1900 5:00,3663
2/1/1900 5:15,3695
2/1/1900 5:30,4016
2/1/1900 5:45,4622
2/1/1900 6:00,5774
2/1/1900 6:15,5668
2/1/1900 6:30,6160
2/1/1900 6:45,6304
2/1/1900 7:00,6896
2/1/1900 7:15,7013
2/1/1900 7:30,7548
2/1/1900 7:45,9174
2/1/1900 8:00,10726
2/1/1900 8:15,11893
2/1/1900 8:30,12518
2/1/1900 8:45,12615
2/1/1900 9:00,12730
2/1/1900 9:15,12162
2/1/1900 9:30,11482
2/1/1900 9:45,10415
2/1/1900 10:00,10102
2/1/1900 10:15,10231
2/1/1900 10:30,10587
2/1/1900 10:45,11122
2/1/1900 11:00,11233
2/1/1900 11:15,11437
2/1/1900 11:30,10717
2/1/1900 11:45,11812
2/1/1900 12:00,11714
2/1/1900 12:15,10511
2/1/1900 12:30,10150
2/1/1900 12:45,9449
2/1/1900 13:00,9190
2/1/1900 13:15,9082
2/1/1900 13:30,9755
2/1/1900 13:45,9459
2/1/1900 14:00,10635
2/1/1900 14:15,10640
2/1/1900 14:30,11107
2/1/1900 14:45,11126
2/1/1900 15:00,10177
2/1/1900 15:15,11654
2/1/1900 15:30,12550
2/1/1900 15:45,11552
2/1/1900 16:00,9477
2/1/1900 16:15,10521
2/1/1900 16:30,11419
2/1/1900 16:45,10636
2/1/1900 17:00,11067
2/1/1900 17:15,12001
2/1/1900 17:30,12000
2/1/1900 17:45,11905
2/1/1900 18:00,8974
2/1/1900 18:15,13918
2/1/1900 18:30,12436
2/1/1900 18:45,10689
2/1/1900 19:00,9743
2/1/1900 19:15,11714
2/1/1900 19:30,9444
2/1/1900 19:45,10138
2/1/1900 20:00,10616
2/1/1900 20:15,10240
2/1/1900 20:30,10896
2/1/1900 20:45,11928
2/1/1900 21:00,13265
2/1/1900 21:15,11721
2/1/1900 21:30,12223
2/1/1900 21:45,11879
2/1/1900 22:00,9754
2/1/1900 22:15,11137
2/1/1900 22:30,6767
2/1/1900 22:45,4626
2/1/1900 23:00,3821
2/1/1900 23:15,2931
2/1/1900 23:30,3165
2/1/1900 23:45,2936
3/1/1900 0:00,3104
3/1/1900 0:15,2734
3/1/1900 0:30,3193
3/1/1900 0:45,2889
3/1/1900 1:00,3099
3/1/1900 1:15,2701
3/1/1900 1:30,2695
3/1/1900 1:45,3050
3/1/1900 2:00,2884
3/1/1900 2:15,2743
3/1/1900 2:30,3131
3/1/1900 2:45,2932
3/1/1900 3:00,2785
3/1/1900 3:15,3045
3/1/1900 3:30,3411
3/1/1900 3:45,3142
3/1/1900 4:00,3351
3/1/1900 4:15,3199
3/1/1900 4:30,3570
3/1/1900 4:45,3729
3/1/1900 5:00,3663
3/1/1900 5:15,3695
3/1/1900 5:30,4016
3/1/1900 5:45,4622
3/1/1900 6:00,5774
3/1/1900 6:15,5668
3/1/1900 6:30,6160
3/1/1900 6:45,6304
3/1/1900 7:00,6896
3/1/1900 7:15,7013
3/1/1900 7:30,7548
3/1/1900 7:45,9174
3/1/1900 8:00,10726
3/1/1900 8:15,11893
3/1/1900 8:30,12518
3/1/1900 8:45,12615
3/1/1900 9:00,12730
3/1/1900 9:15,12162
3/1/1900 9:30,11482
3/1/1900 9:45,10415
3/1/1900 10:00,10102
3/1/1900 10:15,10231
3/1/1900 10:30,10587
3/1/1900 10:45,11122
3/1/1900 11:00,11233
3/1/1900 11:15,11437
3/1/1900 11:30,10717
3/1/1900 11:45,11812
3/1/1900 12:00,11714
3/1/1900 12:15,10511
3/1/1900 12:30,10150
3/1/1900 12:45,9449
3/1/1900 13:00,9190
3/1/1900 13:15,9082
3/1/1900 13:30,9755
3/1/1900 13:45,9459
3/1/1900 14:00,10635
3/1/1900 14:15,10640
3/1/1900 14:30,11107
3/1/1900 14:45,11126
3/1/1900 15:00,10177
3/1/1900 15:15,11654
3/1/1900 15:30,12550
3/1/1900 15:45,11552
3/1/1900 16:00,9477
3/1/1900 16:15,10521
3/1/1900 16:30,11419
3/1/1900 16:45,10636
3/1/1900 17:00,11067
3/1/1900 17:15,12001
3/1/1900 17:30,12000
3/1/1900 17:45,11905
3/1/1900 18:00,8974
3/1/1900 18:15,13918
3/1/1900 18:30,12436
3/1/1900 18:45,10689
3/1/1900 19:00,9743
3/1/1900 19:15,11714
3/1/1900 19:30,9444
3/1/1900 19:45,10138
3/1/1900 20:00,10616
3/1/1900 20:15,10240
3/1/1900 20:30,10896
3/1/1900 20:45,11928
3/1/1900 21:00,13265
3/1/1900 21:15,11721
3/1/1900 21:30,12223
3/1/1900 21:45,11879
3/1/1900 22:00,9754
3/1/1900 22:15,11137
3/1/1900 22:30,6767
3/1/1900 22:45,4626
3/1/1900 23:00,3821
3/1/1900 23:15,2931
3/1/1900 23:30,3165
3/1/1900 23:45,2936
