,0,1,2
0,1900-01-01 00:00:00,1900-01-01 00:15:00,48
0,1900-01-01 00:15:00,1900-01-01 00:30:00,62
0,1900-01-01 00:30:00,1900-01-01 00:45:00,43
0,1900-01-01 00:45:00,1900-01-01 01:00:00,61
0,1900-01-01 01:00:00,1900-01-01 01:15:00,59
0,1900-01-01 01:15:00,1900-01-01 01:30:00,39
0,1900-01-01 01:30:00,1900-01-01 01:45:00,26
0,1900-01-01 01:45:00,1900-01-01 02:00:00,29
0,1900-01-01 02:00:00,1900-01-01 02:15:00,46
0,1900-01-01 02:15:00,1900-01-01 02:30:00,45
0,1900-01-01 02:30:00,1900-01-01 02:45:00,30
0,1900-01-01 02:45:00,1900-01-01 03:00:00,67
0,1900-01-01 03:00:00,1900-01-01 03:15:00,58
0,1900-01-01 03:15:00,1900-01-01 03:30:00,37
0,1900-01-01 03:30:00,1900-01-01 03:45:00,37
0,1900-01-01 03:45:00,1900-01-01 04:00:00,30
0,1900-01-01 04:00:00,1900-01-01 04:15:00,50
0,1900-01-01 04:15:00,1900-01-01 04:30:00,52
0,1900-01-01 04:30:00,1900-01-01 04:45:00,58
0,1900-01-01 04:45:00,1900-01-01 05:00:00,49
0,1900-01-01 05:00:00,1900-01-01 05:15:00,33
0,1900-01-01 05:15:00,1900-01-01 05:30:00,18
0,1900-01-01 05:30:00,1900-01-01 05:45:00,20
0,1900-01-01 05:45:00,1900-01-01 06:00:00,35
0,1900-01-01 06:00:00,1900-01-01 06:15:00,71
0,1900-01-01 06:15:00,1900-01-01 06:30:00,18
0,1900-01-01 06:30:00,1900-01-01 06:45:00,28
0,1900-01-01 06:45:00,1900-01-01 07:00:00,73
0,1900-01-01 07:00:00,1900-01-01 07:15:00,72
0,1900-01-01 07:15:00,1900-01-01 07:30:00,107
0,1900-01-01 07:30:00,1900-01-01 07:45:00,58
0,1900-01-01 07:45:00,1900-01-01 08:00:00,99
0,1900-01-01 08:00:00,1900-01-01 08:15:00,153
0,1900-01-01 08:15:00,1900-01-01 08:30:00,74
0,1900-01-01 08:30:00,1900-01-01 08:45:00,158
0,1900-01-01 08:45:00,1900-01-01 09:00:00,193
0,1900-01-01 09:00:00,1900-01-01 09:15:00,285
0,1900-01-01 09:15:00,1900-01-01 09:30:00,176
0,1900-01-01 09:30:00,1900-01-01 09:45:00,133
0,1900-01-01 09:45:00,1900-01-01 10:00:00,113
0,1900-01-01 10:00:00,1900-01-01 10:15:00,160
0,1900-01-01 10:15:00,1900-01-01 10:30:00,101
0,1900-01-01 10:30:00,1900-01-01 10:45:00,131
0,1900-01-01 10:45:00,1900-01-01 11:00:00,111
0,1900-01-01 11:00:00,1900-01-01 11:15:00,159
0,1900-01-01 11:15:00,1900-01-01 11:30:00,125
0,1900-01-01 11:30:00,1900-01-01 11:45:00,127
0,1900-01-01 11:45:00,1900-01-01 12:00:00,151
0,1900-01-01 12:00:00,1900-01-01 12:15:00,135
0,1900-01-01 12:15:00,1900-01-01 12:30:00,120
0,1900-01-01 12:30:00,1900-01-01 12:45:00,91
0,1900-01-01 12:45:00,1900-01-01 13:00:00,148
0,1900-01-01 13:00:00,1900-01-01 13:15:00,140
0,1900-01-01 13:15:00,1900-01-01 13:30:00,148
0,1900-01-01 13:30:00,1900-01-01 13:45:00,118
0,1900-01-01 13:45:00,1900-01-01 14:00:00,142
0,1900-01-01 14:00:00,1900-01-01 14:15:00,168
0,1900-01-01 14:15:00,1900-01-01 14:30:00,107
0,1900-01-01 14:30:00,1900-01-01 14:45:00,176
0,1900-01-01 14:45:00,1900-01-01 15:00:00,136
0,1900-01-01 15:00:00,1900-01-01 15:15:00,176
0,1900-01-01 15:15:00,1900-01-01 15:30:00,138
0,1900-01-01 15:30:00,1900-01-01 15:45:00,194
0,1900-01-01 15:45:00,1900-01-01 16:00:00,179
0,1900-01-01 16:00:00,1900-01-01 16:15:00,169
0,1900-01-01 16:15:00,1900-01-01 16:30:00,153
0,1900-01-01 16:30:00,1900-01-01 16:45:00,136
0,1900-01-01 16:45:00,1900-01-01 17:00:00,166
0,1900-01-01 17:00:00,1900-01-01 17:15:00,179
0,1900-01-01 17:15:00,1900-01-01 17:30:00,171
0,1900-01-01 17:30:00,1900-01-01 17:45:00,130
0,1900-01-01 17:45:00,1900-01-01 18:00:00,157
0,1900-01-01 18:00:00,1900-01-01 18:15:00,231
0,1900-01-01 18:15:00,1900-01-01 18:30:00,217
0,1900-01-01 18:30:00,1900-01-01 18:45:00,140
0,1900-01-01 18:45:00,1900-01-01 19:00:00,153
0,1900-01-01 19:00:00,1900-01-01 19:15:00,92
0,1900-01-01 19:15:00,1900-01-01 19:30:00,124
0,1900-01-01 19:30:00,1900-01-01 19:45:00,137
0,1900-01-01 19:45:00,1900-01-01 20:00:00,157
0,1900-01-01 20:00:00,1900-01-01 20:15:00,155
0,1900-01-01 20:15:00,1900-01-01 20:30:00,106
0,1900-01-01 20:30:00,1900-01-01 20:45:00,107
0,1900-01-01 20:45:00,1900-01-01 21:00:00,157
0,1900-01-01 21:00:00,1900-01-01 21:15:00,209
0,1900-01-01 21:15:00,1900-01-01 21:30:00,170
0,1900-01-01 21:30:00,1900-01-01 21:45:00,77
0,1900-01-01 21:45:00,1900-01-01 22:00:00,120
0,1900-01-01 22:00:00,1900-01-01 22:15:00,105
0,1900-01-01 22:15:00,1900-01-01 22:30:00,47
0,1900-01-01 22:30:00,1900-01-01 22:45:00,41
0,1900-01-01 22:45:00,1900-01-01 23:00:00,37
0,1900-01-01 23:00:00,1900-01-01 23:15:00,32
0,1900-01-01 23:15:00,1900-01-01 23:30:00,23
0,1900-01-01 23:30:00,1900-01-01 23:45:00,18
0,1900-01-01 23:45:00,1900-01-02 00:00:00,50
