timeOfData,time
10/8/2020,11:45:55
10/8/2020,11:46:33
10/8/2020,11:46:38
10/8/2020,11:46:20
10/8/2020,11:47:28
10/8/2020,11:46:58
10/8/2020,11:47:10
10/8/2020,11:47:12
10/8/2020,11:49:13
10/8/2020,11:51:54
10/8/2020,11:53:24
10/8/2020,11:55:47
10/8/2020,11:56:55
10/8/2020,11:57:23
10/8/2020,11:57:49
10/8/2020,11:58:45
10/8/2020,11:59:12
10/8/2020,11:59:17
10/8/2020,11:59:35
10/8/2020,11:59:54
10/8/2020,11:59:18
10/8/2020,11:59:55
10/8/2020,12:00:13
10/8/2020,12:00:05
10/8/2020,12:00:17
10/8/2020,12:00:26
10/8/2020,12:00:27
10/8/2020,12:00:42
10/8/2020,12:00:49
10/8/2020,12:01:32
10/8/2020,12:00:50
10/8/2020,12:02:02
10/8/2020,12:01:36
10/8/2020,12:03:07
10/8/2020,12:05:40
10/8/2020,12:07:23
10/8/2020,12:05:57
10/8/2020,12:05:15
10/8/2020,12:07:46
10/8/2020,12:08:23
10/8/2020,12:07:54
10/8/2020,12:08:47
10/8/2020,12:07:23
10/8/2020,12:08:44
10/8/2020,12:08:43
10/8/2020,12:08:46
10/8/2020,12:08:46
10/8/2020,12:08:49
10/8/2020,12:08:57
10/8/2020,12:10:41
10/8/2020,12:13:29
10/8/2020,12:10:51
10/8/2020,12:18:08
10/8/2020,12:20:39
10/8/2020,12:20:40
10/8/2020,12:20:47
10/8/2020,12:20:41
10/8/2020,12:20:48
10/8/2020,12:20:49
10/8/2020,12:20:50
10/8/2020,12:21:06
10/8/2020,12:23:04
10/8/2020,12:27:06
10/8/2020,12:27:45
10/8/2020,12:28:14
10/8/2020,12:28:20
10/8/2020,12:28:26
10/8/2020,12:28:30
10/8/2020,12:28:57
10/8/2020,12:29:06
10/8/2020,12:29:10
10/8/2020,12:29:41
10/8/2020,12:30:15
10/8/2020,12:30:55
10/8/2020,12:31:12
10/8/2020,12:32:02
10/8/2020,12:32:21
10/8/2020,12:33:33
10/8/2020,12:33:42
10/8/2020,12:33:50
10/8/2020,12:33:55
10/8/2020,12:34:17
10/8/2020,12:35:39
10/8/2020,12:36:10
10/8/2020,12:35:40
10/8/2020,12:42:10
10/8/2020,12:42:11
10/8/2020,12:42:14
10/8/2020,12:42:23
10/8/2020,12:42:33
10/8/2020,12:42:37
10/8/2020,12:42:38
10/8/2020,12:47:30
10/8/2020,12:53:13
10/8/2020,12:53:43
10/8/2020,12:53:16
10/8/2020,12:54:21
10/8/2020,12:54:25
10/8/2020,12:54:32
10/8/2020,12:54:49
10/8/2020,12:55:04
10/8/2020,12:55:00
10/8/2020,12:55:45
10/8/2020,12:55:35
10/8/2020,12:55:59
10/8/2020,12:56:00
10/8/2020,12:55:02
10/8/2020,12:55:48
10/8/2020,12:56:14
10/8/2020,12:56:04
10/8/2020,12:56:31
10/8/2020,12:56:18
10/8/2020,12:56:15
10/8/2020,12:56:35
10/8/2020,12:56:35
10/8/2020,12:57:42
10/8/2020,12:58:57
10/8/2020,12:57:05
10/8/2020,12:58:13
10/8/2020,12:56:40
10/8/2020,12:59:03
10/8/2020,12:59:35
10/8/2020,12:59:46
10/8/2020,13:00:15
10/8/2020,12:59:32
10/8/2020,13:00:27
10/8/2020,13:00:42
10/8/2020,13:01:04
10/8/2020,13:01:32
10/8/2020,13:00:35
10/8/2020,13:02:02
10/8/2020,13:02:02
10/8/2020,13:02:12
10/8/2020,13:02:08
10/8/2020,13:01:15
10/8/2020,13:04:01
10/8/2020,13:02:19
10/8/2020,13:05:30
10/8/2020,13:04:10
10/8/2020,13:06:14
10/8/2020,13:05:51
10/8/2020,13:06:43
10/8/2020,13:06:10
10/8/2020,13:07:32
10/8/2020,13:07:28
10/8/2020,13:07:58
10/8/2020,13:08:37
10/8/2020,13:09:00
10/8/2020,13:09:12
10/8/2020,13:10:12
10/8/2020,13:10:57
10/8/2020,13:13:34
10/8/2020,13:11:11
10/8/2020,13:13:39
10/8/2020,13:10:15
10/8/2020,13:15:17
10/8/2020,13:15:34
10/8/2020,13:15:59
10/8/2020,13:15:38
10/8/2020,13:17:07
10/8/2020,13:17:22
10/8/2020,13:20:49
10/8/2020,13:21:06
10/8/2020,13:24:53
10/8/2020,13:25:13
10/8/2020,13:27:29
10/8/2020,13:34:57
10/8/2020,13:35:50
10/8/2020,13:35:52
10/8/2020,13:37:45
10/8/2020,13:47:48
10/8/2020,13:56:23
10/8/2020,13:59:35
10/8/2020,14:02:02
10/8/2020,14:04:03
10/8/2020,14:04:19
10/8/2020,14:04:34
10/8/2020,14:05:03
10/8/2020,14:06:25
10/8/2020,14:07:19
10/8/2020,14:08:46
10/8/2020,14:07:55
10/8/2020,14:09:41
10/8/2020,14:10:12
10/8/2020,14:11:10
10/8/2020,14:14:37
10/8/2020,14:15:07
10/8/2020,14:16:51
10/8/2020,14:17:12
10/8/2020,14:18:17
10/8/2020,14:18:03
10/8/2020,14:18:56
10/8/2020,14:16:20
10/8/2020,14:18:47
10/8/2020,14:19:02
10/8/2020,14:19:26
10/8/2020,14:19:42
10/8/2020,14:19:57
10/8/2020,14:20:58
10/8/2020,14:20:34
10/8/2020,14:21:15
10/8/2020,14:20:12
10/8/2020,14:20:49
10/8/2020,14:21:46
10/8/2020,14:22:26
10/8/2020,14:23:03
10/8/2020,14:23:44
10/8/2020,14:21:28
10/8/2020,14:26:22
10/8/2020,14:27:27
10/8/2020,14:27:27
10/8/2020,14:27:58
10/8/2020,14:27:54
10/8/2020,14:29:50
10/8/2020,14:29:51
10/8/2020,14:29:50
10/8/2020,14:29:52
10/8/2020,14:29:53
10/8/2020,14:30:21
10/8/2020,14:29:54
10/8/2020,14:30:23
10/8/2020,14:30:20
10/8/2020,14:30:08
10/8/2020,14:30:23
10/8/2020,14:30:26
10/8/2020,14:32:23
10/8/2020,14:32:33
10/8/2020,14:32:45
10/8/2020,14:32:54
10/8/2020,14:32:49
10/8/2020,14:37:12
10/8/2020,14:37:53
10/8/2020,14:45:41
10/8/2020,14:46:50
10/8/2020,14:47:02
10/8/2020,14:47:10
10/8/2020,14:47:33
10/8/2020,14:48:06
10/8/2020,14:48:46
10/8/2020,14:49:01
10/8/2020,14:49:12
10/8/2020,14:49:27
10/8/2020,14:49:29
10/8/2020,14:50:04
10/8/2020,14:50:20
10/8/2020,14:50:58
10/8/2020,14:51:18
10/8/2020,14:53:30
10/8/2020,14:49:34
10/8/2020,14:51:00
10/8/2020,14:52:59
10/8/2020,14:52:13
10/8/2020,14:52:54
10/8/2020,14:54:21
10/8/2020,14:55:31
10/8/2020,14:56:10
10/8/2020,14:56:32
10/8/2020,14:56:13
10/8/2020,14:56:59
10/8/2020,14:55:53
10/8/2020,14:59:35
10/8/2020,14:59:44
10/8/2020,15:00:15
10/8/2020,15:00:49
10/8/2020,15:01:20
10/8/2020,15:01:38
10/8/2020,15:01:42
10/8/2020,15:02:02
10/8/2020,15:02:04
10/8/2020,15:03:46
10/8/2020,15:03:46
10/8/2020,15:04:17
10/8/2020,15:10:23
10/8/2020,15:15:14
10/8/2020,15:16:58
10/8/2020,15:17:09
10/8/2020,15:17:43
10/8/2020,15:17:16
10/8/2020,15:20:27
10/8/2020,15:20:49
10/8/2020,15:20:52
10/8/2020,15:21:00
10/8/2020,15:22:47
10/8/2020,15:25:39
10/8/2020,15:25:40
10/8/2020,15:25:44
10/8/2020,15:25:48
10/8/2020,15:25:56
10/8/2020,15:26:06
10/8/2020,15:27:05
10/8/2020,15:27:03
10/8/2020,15:27:10
10/8/2020,15:27:12
10/8/2020,15:27:13
10/8/2020,15:27:14
10/8/2020,15:27:29
10/8/2020,15:28:17
10/8/2020,15:30:49
10/8/2020,15:30:52
10/8/2020,15:31:41
10/8/2020,15:31:19
10/8/2020,15:32:43
10/8/2020,15:33:23
10/8/2020,15:35:16
10/8/2020,15:35:19
10/8/2020,15:35:46
10/8/2020,15:36:34
10/8/2020,15:36:50
10/8/2020,15:36:55
10/8/2020,15:37:22
10/8/2020,15:37:55
10/8/2020,15:46:31
10/8/2020,15:46:36
10/8/2020,15:48:25
10/8/2020,15:47:01
10/8/2020,15:51:30
10/8/2020,15:51:35
10/8/2020,15:51:45
10/8/2020,15:52:00
10/8/2020,15:52:38
10/8/2020,15:56:41
10/8/2020,15:59:34
10/8/2020,15:59:58
10/8/2020,15:59:35
10/8/2020,15:59:43
10/8/2020,16:00:00
10/8/2020,15:59:38
10/8/2020,16:02:02
10/8/2020,16:03:01
10/8/2020,16:03:03
10/8/2020,16:00:02
10/8/2020,16:11:01
10/8/2020,16:11:11
10/8/2020,16:20:49
10/8/2020,16:21:19
10/8/2020,16:21:24
10/8/2020,16:22:38
10/8/2020,16:21:50
10/8/2020,16:27:27
10/8/2020,16:28:06
10/8/2020,16:28:17
10/8/2020,16:28:40
10/8/2020,16:30:01
10/8/2020,16:41:16
10/8/2020,16:40:06
10/8/2020,16:41:29
10/8/2020,16:42:14
10/8/2020,16:41:14
10/8/2020,16:45:01
10/8/2020,16:45:36
10/8/2020,16:47:19
10/8/2020,16:47:24
10/8/2020,16:47:50
10/8/2020,16:48:03
10/8/2020,16:48:46
10/8/2020,16:48:25
10/8/2020,16:49:28
10/8/2020,16:49:38
10/8/2020,16:50:31
10/8/2020,16:50:36
10/8/2020,16:50:36
10/8/2020,16:50:40
10/8/2020,16:50:37
10/8/2020,16:51:56
10/8/2020,16:50:33
10/8/2020,16:51:16
10/8/2020,16:52:13
10/8/2020,16:52:44
10/8/2020,16:52:19
10/8/2020,16:53:28
10/8/2020,16:56:51
10/8/2020,16:59:36
10/8/2020,17:02:02
10/8/2020,17:11:40
10/8/2020,17:20:49
10/8/2020,17:28:59
10/8/2020,17:30:16
10/8/2020,17:30:17
10/8/2020,17:35:06
10/8/2020,17:35:37
10/8/2020,17:35:13
10/8/2020,17:35:53
10/8/2020,17:35:56
10/8/2020,17:36:39
10/8/2020,17:37:19
10/8/2020,17:36:59
10/8/2020,17:37:21
10/8/2020,17:36:28
10/8/2020,17:36:37
10/8/2020,17:37:52
10/8/2020,17:38:01
10/8/2020,17:39:15
10/8/2020,17:39:22
10/8/2020,17:41:14
10/8/2020,17:41:35
10/8/2020,17:41:45
10/8/2020,17:49:05
10/8/2020,17:49:37
10/8/2020,17:50:36
10/8/2020,17:50:44
10/8/2020,17:57:02
10/8/2020,17:59:36
10/8/2020,18:02:02
10/8/2020,18:02:50
10/8/2020,18:12:20
10/8/2020,18:20:49
10/8/2020,18:29:20
10/8/2020,18:30:17
10/8/2020,18:35:53
10/8/2020,18:35:54
10/8/2020,18:35:56
10/8/2020,18:35:55
10/8/2020,18:36:00
10/8/2020,18:36:01
10/8/2020,18:36:02
10/8/2020,18:36:07
10/8/2020,18:43:28
10/8/2020,18:43:42
10/8/2020,18:43:31
10/8/2020,18:43:41
10/8/2020,18:43:43
10/8/2020,18:43:29
10/8/2020,18:43:44
10/8/2020,18:43:47
10/8/2020,18:43:45
10/8/2020,18:44:07
10/8/2020,18:47:58
10/8/2020,18:49:18
10/8/2020,18:49:26
10/8/2020,18:50:58
10/8/2020,18:50:53
10/8/2020,18:52:43
10/8/2020,18:53:14
10/8/2020,18:51:47
10/8/2020,18:53:15
10/8/2020,18:57:13
10/8/2020,18:57:17
10/8/2020,18:57:18
10/8/2020,18:57:26
10/8/2020,18:58:22
10/8/2020,18:57:29
10/8/2020,18:58:40
10/8/2020,18:57:19
10/8/2020,18:59:09
10/8/2020,18:59:36
10/8/2020,19:00:28
10/8/2020,19:01:50
10/8/2020,19:02:10
10/8/2020,19:02:44
10/8/2020,19:02:02
10/8/2020,19:03:11
10/8/2020,19:13:00
10/8/2020,19:21:05
10/8/2020,19:22:45
10/8/2020,19:22:43
10/8/2020,19:23:21
10/8/2020,19:23:23
10/8/2020,19:24:30
10/8/2020,19:24:31
10/8/2020,19:26:14
10/8/2020,19:24:39
10/8/2020,19:24:40
10/8/2020,19:26:19
10/8/2020,19:29:39
10/8/2020,19:37:34
10/8/2020,19:40:06
10/8/2020,19:40:08
10/8/2020,19:37:35
10/8/2020,19:40:09
10/8/2020,19:40:11
10/8/2020,19:40:12
10/8/2020,19:45:33
10/8/2020,19:49:46
10/8/2020,19:40:13
10/8/2020,19:57:21
10/8/2020,19:51:00
10/8/2020,19:59:10
10/8/2020,19:59:12
10/8/2020,19:59:36
10/8/2020,20:00:35
10/8/2020,20:00:38
10/8/2020,20:02:02
10/8/2020,20:13:41
10/8/2020,20:16:49
10/8/2020,20:16:50
10/8/2020,20:16:55
10/8/2020,20:16:56
10/8/2020,20:20:49
10/8/2020,20:21:23
10/8/2020,20:30:00
10/8/2020,20:32:45
10/8/2020,20:50:06
10/8/2020,20:51:09
10/8/2020,20:57:30
10/8/2020,20:59:36
10/8/2020,21:01:16
10/8/2020,21:01:17
10/8/2020,21:01:34
10/8/2020,21:01:35
10/8/2020,21:02:02
10/8/2020,21:02:44
10/8/2020,21:02:44
10/8/2020,21:02:44
10/8/2020,21:14:20
10/8/2020,21:20:49
10/8/2020,21:30:20
10/8/2020,21:32:55
10/8/2020,21:43:33
10/8/2020,21:43:34
10/8/2020,21:44:50
10/8/2020,21:44:52
10/8/2020,21:44:59
10/8/2020,21:44:53
10/8/2020,21:45:00
10/8/2020,21:45:07
10/8/2020,21:45:30
10/8/2020,21:45:39
10/8/2020,21:45:59
10/8/2020,21:46:00
10/8/2020,21:46:20
10/8/2020,21:46:22
10/8/2020,21:46:25
10/8/2020,21:46:26
10/8/2020,21:46:27
10/8/2020,21:46:37
10/8/2020,21:46:39
10/8/2020,21:46:38
10/8/2020,21:46:40
10/8/2020,21:46:45
10/8/2020,21:47:04
10/8/2020,21:47:14
10/8/2020,21:47:52
10/8/2020,21:47:21
10/8/2020,21:47:16
10/8/2020,21:49:21
10/8/2020,21:49:48
10/8/2020,21:50:29
10/8/2020,21:51:22
10/8/2020,21:51:36
10/8/2020,21:51:58
10/8/2020,21:53:54
10/8/2020,21:54:12
10/8/2020,21:54:43
10/8/2020,21:56:14
10/8/2020,21:57:37
10/8/2020,21:57:57
10/8/2020,21:58:17
10/8/2020,21:59:24
10/8/2020,21:59:32
10/8/2020,21:59:36
10/8/2020,22:01:18
10/8/2020,22:02:02
10/8/2020,22:08:39
10/8/2020,22:08:40
10/8/2020,22:14:59
10/8/2020,22:17:15
10/8/2020,22:17:46
10/8/2020,22:19:29
10/8/2020,22:20:00
10/8/2020,22:20:49
10/8/2020,22:29:48
10/8/2020,22:30:41
10/8/2020,22:29:17
10/8/2020,22:31:15
10/8/2020,22:32:12
10/8/2020,22:31:45
10/8/2020,22:32:42
10/8/2020,22:32:44
10/8/2020,22:33:15
10/8/2020,22:33:24
10/8/2020,22:33:54
10/8/2020,22:34:50
10/8/2020,22:39:56
10/8/2020,22:40:26
10/8/2020,22:50:52
10/8/2020,22:51:30
10/8/2020,22:57:17
10/8/2020,22:57:45
10/8/2020,22:57:47
10/8/2020,22:59:36
10/8/2020,23:00:01
10/8/2020,23:02:02
10/8/2020,23:04:22
10/8/2020,23:04:52
10/8/2020,23:08:40
10/8/2020,23:15:40
10/8/2020,23:16:33
10/8/2020,23:20:49
10/8/2020,23:26:05
10/8/2020,23:26:36
10/8/2020,23:28:35
10/8/2020,23:28:36
10/8/2020,23:31:06
10/8/2020,23:31:26
10/8/2020,23:31:56
10/8/2020,23:41:25
10/8/2020,23:45:23
10/8/2020,23:45:53
10/8/2020,23:51:16
10/8/2020,23:51:39
10/8/2020,23:55:41
10/8/2020,23:57:56
10/8/2020,23:59:36
11/8/2020,0:02:02
11/8/2020,0:10:18
11/8/2020,0:10:58
11/8/2020,0:16:22
11/8/2020,0:20:49
11/8/2020,0:28:36
11/8/2020,0:31:29
11/8/2020,0:38:37
11/8/2020,0:38:38
11/8/2020,0:39:51
11/8/2020,0:40:22
11/8/2020,0:51:39
11/8/2020,0:51:52
11/8/2020,0:58:05
11/8/2020,0:58:14
11/8/2020,0:58:15
11/8/2020,0:59:36
11/8/2020,1:02:02
11/8/2020,1:03:24
11/8/2020,1:03:26
11/8/2020,1:11:41
11/8/2020,1:17:04
11/8/2020,1:20:49
11/8/2020,1:31:49
